ID,Criticality,C_LOW,C_HIGH,Period,Deadline,AP,RP,Flag,U_LOW,U_HIGH,set_id,system_total_utilization,system_target_u_norm,system_cores
1,HIGH,3.2928372817872544,6.585674563574509,67,67,0.3292837281787255,0.3292837281787255,3,0.049146825101302305,0.09829365020260461,0,4.0,0.5,8
2,HIGH,36.5,73,73,73,3.6500000000000004,3.6500000000000004,3,0.5,1.0,0,4.0,0.5,8
3,LOW,24.660802687644896,24.660802687644896,79,79,2.4660802687644896,2.4660802687644896,3,0.31216205933727714,0.31216205933727714,0,4.0,0.5,8
4,LOW,16.1631136051905,16.1631136051905,42,42,1.61631136051905,1.61631136051905,2,0.3848360382188214,0.3848360382188214,0,4.0,0.5,8
5,LOW,7.376922349483966,7.376922349483966,54,54,0.7376922349483966,0.7376922349483966,2,0.13660967313859196,0.13660967313859196,0,4.0,0.5,8
6,LOW,8.98870356689165,8.98870356689165,37,37,0.8988703566891649,0.8988703566891649,5,0.24293793424031485,0.24293793424031485,0,4.0,0.5,8
7,HIGH,0.524103146839352,1.048206293678704,15,15,0.0524103146839352,0.0524103146839352,3,0.03494020978929013,0.06988041957858027,0,4.0,0.5,8
8,HIGH,40.53221459953442,81.06442919906884,82,82,4.053221459953442,4.053221459953442,3,0.4942952999943222,0.9885905999886444,0,4.0,0.5,8
9,LOW,1.2595333231557087,1.2595333231557087,54,54,0.12595333231557088,0.12595333231557088,8,0.02332469116955016,0.02332469116955016,0,4.0,0.5,8
10,HIGH,12.136117370919107,24.272234741838215,29,29,1.2136117370919108,1.2136117370919108,4,0.4184868058937623,0.8369736117875246,0,4.0,0.5,8
11,HIGH,1.566130631902277,3.132261263804554,61,61,0.15661306319022772,0.15661306319022772,1,0.025674272654135688,0.051348545308271376,0,4.0,0.5,8
12,HIGH,2.810733396806855,5.62146679361371,56,56,0.2810733396806855,0.2810733396806855,3,0.05019166780012241,0.10038333560024482,0,4.0,0.5,8
13,LOW,1.237487405248408,1.237487405248408,18,18,0.1237487405248408,0.1237487405248408,4,0.06874930029157822,0.06874930029157822,0,4.0,0.5,8
14,LOW,0.8718913037516085,0.8718913037516085,12,12,0.08718913037516085,0.08718913037516085,3,0.07265760864596738,0.07265760864596738,0,4.0,0.5,8
15,HIGH,1.7418483881598639,3.4836967763197277,25,25,0.1741848388159864,0.1741848388159864,6,0.06967393552639456,0.13934787105278912,0,4.0,0.5,8
16,HIGH,4.6912132094888,9.3824264189776,85,85,0.46912132094888004,0.46912132094888004,6,0.055190743641044704,0.11038148728208941,0,4.0,0.5,8
17,HIGH,1.9085034891167652,3.8170069782335303,30,30,0.19085034891167652,0.19085034891167652,5,0.06361678297055884,0.12723356594111768,0,4.0,0.5,8
18,HIGH,0.02846042561780293,0.05692085123560586,14,14,0.0028460425617802933,0.0028460425617802933,1,0.002032887544128781,0.004065775088257562,0,4.0,0.5,8
19,LOW,58.714940455805895,58.714940455805895,92,92,5.87149404558059,5.87149404558059,2,0.6382058745196293,0.6382058745196293,0,4.0,0.5,8
20,LOW,14.08494091097039,14.08494091097039,95,95,1.4084940910970392,1.4084940910970392,3,0.14826253590495148,0.14826253590495148,0,4.0,0.5,8
1,LOW,1.9931160244420685,1.9931160244420685,76,76,0.19931160244420687,0.19931160244420687,2,0.026225210847921954,0.026225210847921954,1,4.0,0.5,8
2,LOW,0.3608028515170547,0.3608028515170547,10,10,0.03608028515170547,0.03608028515170547,7,0.03608028515170547,0.03608028515170547,1,4.0,0.5,8
3,LOW,2.4510598212984744,2.4510598212984744,22,22,0.24510598212984747,0.24510598212984747,6,0.11141181005902157,0.11141181005902157,1,4.0,0.5,8
4,HIGH,2.265857028278594,4.531714056557188,77,77,0.22658570282785942,0.22658570282785942,2,0.029426714652968755,0.05885342930593751,1,4.0,0.5,8
5,HIGH,0.4372326909199509,0.8744653818399017,83,83,0.04372326909199509,0.04372326909199509,7,0.0052678637460235045,0.010535727492047009,1,4.0,0.5,8
6,HIGH,6.401897810483694,12.803795620967389,39,39,0.6401897810483694,0.6401897810483694,6,0.16415122590983833,0.32830245181967666,1,4.0,0.5,8
7,HIGH,49.5,99,99,99,4.95,4.95,6,0.5,1.0,1,4.0,0.5,8
8,LOW,3.5735206739949246,3.5735206739949246,29,29,0.3573520673994925,0.3573520673994925,1,0.12322485082741119,0.12322485082741119,1,4.0,0.5,8
9,HIGH,4.317058449755265,8.63411689951053,21,21,0.43170584497552655,0.43170584497552655,5,0.20557421189310787,0.41114842378621574,1,4.0,0.5,8
10,HIGH,44.32754167034882,88.65508334069764,93,93,4.432754167034882,4.432754167034882,7,0.4766402330145035,0.953280466029007,1,4.0,0.5,8
11,HIGH,6.25429977391428,12.50859954782856,24,24,0.625429977391428,0.625429977391428,6,0.260595823913095,0.52119164782619,1,4.0,0.5,8
12,LOW,11.733494113802092,11.733494113802092,45,45,1.1733494113802092,1.1733494113802092,3,0.26074431364004647,0.26074431364004647,1,4.0,0.5,8
13,LOW,0.5302034295805844,0.5302034295805844,41,41,0.05302034295805844,0.05302034295805844,3,0.012931790965380108,0.012931790965380108,1,4.0,0.5,8
14,HIGH,22.91730367168491,45.83460734336982,74,74,2.291730367168491,2.291730367168491,4,0.3096932928606069,0.6193865857212137,1,4.0,0.5,8
15,HIGH,19.327763907178873,38.65552781435775,45,45,1.9327763907178874,1.9327763907178874,8,0.42950586460397494,0.8590117292079499,1,4.0,0.5,8
