ID,Criticality,C_LOW,C_HIGH,Period,Deadline,AP,RP,Flag,U_LOW,U_HIGH,set_id,system_total_utilization,system_target_u_norm,system_cores
1,HIGH,1.7996206417311886,3.5992412834623773,31,31,0.17996206417311889,0.17996206417311889,4,0.058052278765522214,0.11610455753104443,0,1.6,0.4,4
2,LOW,1.586909399639393,1.586909399639393,92,92,0.15869093996393932,0.15869093996393932,2,0.017249015213471663,0.017249015213471663,0,1.6,0.4,4
3,HIGH,39.5,79,79,79,3.95,3.95,4,0.5,1.0,0,1.6,0.4,4
4,LOW,1.5541017488707054,1.5541017488707054,70,70,0.15541017488707054,0.15541017488707054,2,0.02220145355529579,0.02220145355529579,0,1.6,0.4,4
5,LOW,12.144358050355335,12.144358050355335,51,51,1.2144358050355335,1.2144358050355335,2,0.23812466765402618,0.23812466765402618,0,1.6,0.4,4
6,HIGH,1.8720660568103802,3.7441321136207604,23,23,0.18720660568103803,0.18720660568103803,4,0.08139417638306001,0.16278835276612003,0,1.6,0.4,4
7,HIGH,1.6058383993997825,3.211676798799565,89,89,0.16058383993997827,0.16058383993997827,4,0.018043128083143622,0.036086256166287245,0,1.6,0.4,4
8,HIGH,3.534166984877163,7.068333969754326,23,23,0.3534166984877163,0.3534166984877163,1,0.15365943412509403,0.30731886825018806,0,1.6,0.4,4
9,LOW,6.2390157737698235,6.2390157737698235,43,43,0.6239015773769824,0.6239015773769824,2,0.1450933900876703,0.1450933900876703,0,1.6,0.4,4
10,LOW,13.315224197286083,13.315224197286083,88,88,1.3315224197286084,1.3315224197286084,4,0.15130936587825095,0.15130936587825095,0,1.6,0.4,4
1,HIGH,9.242470696127278,18.484941392254555,33,33,0.9242470696127278,0.9242470696127278,3,0.28007486957961447,0.5601497391592289,1,1.6,0.4,4
2,LOW,3.5233574123075266,3.5233574123075266,58,58,0.3523357412307527,0.3523357412307527,2,0.06074754159150908,0.06074754159150908,1,1.6,0.4,4
3,LOW,6.959848979082083,6.959848979082083,51,51,0.6959848979082084,0.6959848979082084,3,0.13646762704082516,0.13646762704082516,1,1.6,0.4,4
4,HIGH,7.301123123981015,14.60224624796203,33,33,0.7301123123981016,0.7301123123981016,3,0.22124615527215197,0.44249231054430394,1,1.6,0.4,4
5,LOW,0.3633450471729074,0.3633450471729074,11,11,0.03633450471729074,0.03633450471729074,1,0.03303136792480976,0.03303136792480976,1,1.6,0.4,4
6,HIGH,1.5085356525051057,3.0170713050102114,28,28,0.15085356525051058,0.15085356525051058,2,0.053876273303753774,0.10775254660750755,1,1.6,0.4,4
7,LOW,1.5251057385449138,1.5251057385449138,14,14,0.1525105738544914,0.1525105738544914,4,0.10893612418177956,0.10893612418177956,1,1.6,0.4,4
8,HIGH,4.559846062475476,9.119692124950951,34,34,0.4559846062475476,0.4559846062475476,2,0.13411311948457283,0.26822623896914566,1,1.6,0.4,4
9,HIGH,4.8851793136616575,9.770358627323315,32,32,0.4885179313661658,0.4885179313661658,2,0.1526618535519268,0.3053237071038536,1,1.6,0.4,4
10,HIGH,25.968394220281514,51.93678844056303,62,62,2.5968394220281517,2.5968394220281517,3,0.4188450680690567,0.8376901361381134,1,1.6,0.4,4
1,LOW,11.6940395695263,11.6940395695263,42,42,1.16940395695263,1.16940395695263,4,0.27842951356015,0.27842951356015,2,1.6,0.4,4
2,LOW,0.06010502837919596,0.06010502837919596,10,10,0.006010502837919596,0.006010502837919596,2,0.006010502837919596,0.006010502837919596,2,1.6,0.4,4
3,HIGH,1.4191622575525575,2.838324515105115,30,30,0.14191622575525575,0.14191622575525575,2,0.04730540858508525,0.0946108171701705,2,1.6,0.4,4
4,LOW,14.660759097872262,14.660759097872262,75,75,1.4660759097872262,1.4660759097872262,1,0.19547678797163015,0.19547678797163015,2,1.6,0.4,4
5,HIGH,5.038029405161479,10.076058810322959,47,47,0.5038029405161479,0.5038029405161479,4,0.10719211500343573,0.21438423000687146,2,1.6,0.4,4
6,HIGH,5.842641730687211,11.685283461374421,44,44,0.5842641730687211,0.5842641730687211,3,0.13278731206107297,0.26557462412214594,2,1.6,0.4,4
7,HIGH,6.352055005988209,12.704110011976418,16,16,0.635205500598821,0.635205500598821,4,0.39700343787426307,0.7940068757485261,2,1.6,0.4,4
8,HIGH,21.48448873488373,42.96897746976746,77,77,2.148448873488373,2.148448873488373,2,0.2790193342192692,0.5580386684385384,2,1.6,0.4,4
9,HIGH,1.5274485179087618,3.0548970358175236,34,34,0.15274485179087618,0.15274485179087618,1,0.04492495640908123,0.08984991281816246,2,1.6,0.4,4
10,HIGH,5.368830310948458,10.737660621896916,48,48,0.5368830310948458,0.5368830310948458,4,0.11185063147809288,0.22370126295618575,2,1.6,0.4,4
1,HIGH,3.554087199280134,7.108174398560268,39,39,0.35540871992801343,0.35540871992801343,2,0.09113044100718293,0.18226088201436585,3,1.6,0.4,4
2,LOW,6.468741558825419,6.468741558825419,24,24,0.6468741558825419,0.6468741558825419,1,0.2695308982843925,0.2695308982843925,3,1.6,0.4,4
3,HIGH,1.2565718734679254,2.513143746935851,45,45,0.12565718734679254,0.12565718734679254,4,0.027923819410398343,0.055847638820796686,3,1.6,0.4,4
4,LOW,9.460574993503283,9.460574993503283,31,31,0.9460574993503283,0.9460574993503283,2,0.3051798385001059,0.3051798385001059,3,1.6,0.4,4
5,HIGH,2.692269736049409,5.384539472098818,26,26,0.2692269736049409,0.2692269736049409,2,0.10354883600190035,0.2070976720038007,3,1.6,0.4,4
6,LOW,19.65620997971588,19.65620997971588,93,93,1.965620997971588,1.965620997971588,3,0.21135709655608473,0.21135709655608473,3,1.6,0.4,4
7,HIGH,1.3043235920098555,2.608647184019711,17,17,0.13043235920098556,0.13043235920098556,4,0.07672491717705032,0.15344983435410064,3,1.6,0.4,4
8,HIGH,11.801331714136687,23.602663428273374,68,68,1.1801331714136687,1.1801331714136687,4,0.17354899579612776,0.3470979915922555,3,1.6,0.4,4
9,HIGH,17.221331103971494,34.44266220794299,87,87,1.7221331103971496,1.7221331103971496,4,0.19794633452840799,0.39589266905681597,3,1.6,0.4,4
